age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,income,region,net_capital,has_capital_activity,employment_type
72,,132015,7th to 8th Grade,Divorced,,Not-in-family,White,Female,0,0,6,<=50K,US & Canada,0,0,Part_time
25,Private,220931,Bachelor's Degree,Never Married,Professional Specialty,Not-in-family,White,Male,0,0,43,<=50K,Latin America & Caribbean,0,0,Full_time
25,Private,205947,Bachelor's Degree,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
45,Self-Employed (Not Incorporated),432824,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,White,Male,7298,0,90,>50K,US & Canada,7298,1,Overtime
22,Private,236427,High School Graduate,Never Married,Administrative / Clerical,Own-child,White,Male,0,0,20,<=50K,US & Canada,0,0,Part_time
23,Private,134446,High School Graduate,Separated,Machine Operator / Inspector,Unmarried,Black,Male,0,0,54,<=50K,US & Canada,0,0,Overtime
54,Private,99516,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,35,<=50K,US & Canada,0,0,Full_time
32,Self-Employed (Not Incorporated),109282,College,Never Married,Professional Specialty,Not-in-family,White,Male,0,0,60,<=50K,US & Canada,0,0,Overtime
46,State Government,106444,College,Married (Civilian Spouse),Executive / Managerial,Married,Black,Male,7688,0,38,>50K,US & Canada,7688,1,Full_time
56,Self-Employed (Not Incorporated),186651,11th Grade,Widowed,Other Service,Unmarried,White,Female,0,0,50,<=50K,US & Canada,0,0,Overtime
24,Self-Employed (Not Incorporated),188274,Bachelor's Degree,Never Married,Sales,Not-in-family,White,Male,0,0,50,<=50K,US & Canada,0,0,Overtime
23,Local Government,258120,College,Married (Civilian Spouse),Protective Service,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
26,Private,43311,High School Graduate,Divorced,Executive / Managerial,Unmarried,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
65,,191846,High School Graduate,Married (Civilian Spouse),,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
36,Local Government,403681,Bachelor's Degree,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
22,Private,248446,5th to 6th Grade,Never Married,Private House Service,Not-in-family,White,Male,0,0,50,<=50K,Latin America & Caribbean,0,0,Overtime
17,Private,269430,10th Grade,Never Married,Machine Operator / Inspector,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
20,Private,257509,High School Graduate,Never Married,Craft / Repair,Own-child,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
65,Private,136384,Master's Degree,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,0,50,>50K,US & Canada,0,0,Overtime
44,Self-Employed (Incorporated),120277,Associate's Degree (Vocational),Married (Civilian Spouse),Sales,Married,White,Male,0,0,45,>50K,US & Canada,0,0,Full_time
36,Private,465326,High School Graduate,Married (Civilian Spouse),Farming / Fishing,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
29,Private,103634,11th Grade,Married (Civilian Spouse),Other Service,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
20,State Government,138371,College,Never Married,Farming / Fishing,Own-child,White,Male,0,0,32,<=50K,US & Canada,0,0,Part_time
28,Private,242832,Associate's Degree (Vocational),Married (Civilian Spouse),Professional Specialty,Married,White,Female,0,0,36,>50K,US & Canada,0,0,Full_time
39,Private,290208,7th to 8th Grade,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,40,<=50K,Latin America & Caribbean,0,0,Full_time
54,Private,186272,College,Married (Civilian Spouse),Transport / Moving,Married,White,Male,3908,0,50,<=50K,US & Canada,3908,1,Overtime
52,Private,201062,11th Grade,Separated,Private House Service,Not-in-family,Black,Female,0,0,18,<=50K,US & Canada,0,0,Part_time
56,Self-Employed (Incorporated),131916,High School Graduate,Widowed,Executive / Managerial,Not-in-family,White,Female,0,0,50,<=50K,US & Canada,0,0,Overtime
18,Private,54440,College,Never Married,Other Service,Own-child,White,Male,0,0,20,<=50K,US & Canada,0,0,Part_time
39,Private,280215,High School Graduate,Divorced,Handlers / Cleaners,Own-child,Black,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
21,Private,214399,College,Never Married,Other Service,Own-child,White,Female,0,1721,24,<=50K,US & Canada,-1721,1,Part_time
22,Private,54164,High School Graduate,Never Married,Other Service,Not-in-family,White,Male,14084,0,60,>50K,US & Canada,14084,1,Overtime
38,Private,219446,9th Grade,"Married, Spouse Absent",Executive / Managerial,Not-in-family,White,Male,0,0,54,<=50K,Latin America & Caribbean,0,0,Overtime
21,Private,110677,College,Never Married,Administrative / Clerical,Own-child,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
63,Private,145985,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
34,Local Government,382078,Bachelor's Degree,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,3103,0,50,>50K,US & Canada,3103,1,Overtime
42,Self-Employed (Incorporated),170721,High School Graduate,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,5178,0,50,>50K,US & Canada,5178,1,Overtime
33,Private,269705,High School Graduate,Married (Civilian Spouse),Handlers / Cleaners,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
30,Private,101135,Bachelor's Degree,Never Married,Executive / Managerial,Not-in-family,White,Female,0,0,50,<=50K,US & Canada,0,0,Overtime
39,Private,118429,College,Divorced,Sales,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
26,Private,31208,Master's Degree,Never Married,Executive / Managerial,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
33,Private,281384,High School Graduate,Never Married,Machine Operator / Inspector,Own-child,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
47,Local Government,171807,High School Graduate,Divorced,Administrative / Clerical,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
41,Self-Employed (Incorporated),445382,Associate's Degree (Academic),Married (Civilian Spouse),Craft / Repair,Married,White,Male,15024,0,60,>50K,US & Canada,15024,1,Overtime
19,Private,105460,College,Never Married,Other Service,Own-child,White,Male,0,0,20,<=50K,US & Canada,0,0,Part_time
46,Private,170338,High School Graduate,Separated,Transport / Moving,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
43,Private,102606,High School Graduate,Married (Civilian Spouse),Sales,Married,White,Male,0,0,48,<=50K,US & Canada,0,0,Overtime
55,Private,323887,College,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,15024,0,45,>50K,US & Canada,15024,1,Full_time
46,Private,175622,Associate's Degree (Vocational),Married (Civilian Spouse),Technical Support,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
30,Private,229636,High School Graduate,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,0,0,40,<=50K,Latin America & Caribbean,0,0,Full_time
21,Private,388946,College,Separated,Handlers / Cleaners,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
46,Private,269034,College,Married (Civilian Spouse),Craft / Repair,Married,Other,Male,0,0,40,<=50K,Latin America & Caribbean,0,0,Full_time
17,,165361,10th Grade,Never Married,,Own-child,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
41,Private,75012,High School Graduate,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,0,0,50,<=50K,US & Canada,0,0,Overtime
69,Self-Employed (Incorporated),174379,High School Graduate,Married (Civilian Spouse),Sales,Married,White,Male,0,0,30,<=50K,US & Canada,0,0,Part_time
50,Private,312477,High School Graduate,Married (Civilian Spouse),Transport / Moving,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
20,Private,72055,College,Never Married,Administrative / Clerical,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
45,Self-Employed (Incorporated),67001,College,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,0,0,50,<=50K,US & Canada,0,0,Overtime
23,Private,213734,Bachelor's Degree,Never Married,Executive / Managerial,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
24,Private,83141,College,Separated,Other Service,Not-in-family,White,Male,0,1876,40,<=50K,US & Canada,-1876,1,Full_time
31,Self-Employed (Not Incorporated),113752,College,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,50,<=50K,US & Canada,0,0,Overtime
43,Private,170482,High School Graduate,Separated,Machine Operator / Inspector,Not-in-family,White,Female,0,0,44,<=50K,US & Canada,0,0,Full_time
20,Federal Government,244689,11th Grade,Never Married,Other Service,Own-child,White,Female,0,0,10,<=50K,US & Canada,0,0,Part_time
55,Private,160631,High School Graduate,Married (Civilian Spouse),Sales,Married,White,Male,0,0,56,>50K,US & Canada,0,0,Overtime
24,Federal Government,228724,College,Never Married,Armed Forces,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
41,,38434,Master's Degree,Married (Civilian Spouse),,Married,White,Female,7688,0,10,>50K,US & Canada,7688,1,Part_time
59,Private,292946,Bachelor's Degree,Never Married,Executive / Managerial,Not-in-family,White,Female,0,0,25,<=50K,US & Canada,0,0,Part_time
49,Federal Government,77443,7th to 8th Grade,Never Married,Other Service,Not-in-family,Black,Male,0,0,20,<=50K,US & Canada,0,0,Part_time
33,Private,176410,Master's Degree,Married (Civilian Spouse),Professional Specialty,Married,White,Female,5178,0,10,>50K,US & Canada,5178,1,Part_time
59,Federal Government,98984,Bachelor's Degree,Divorced,Administrative / Clerical,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
34,Private,198751,Master's Degree,Never Married,Other Service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
20,Private,479296,High School Graduate,Never Married,Handlers / Cleaners,Own-child,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
25,Private,235218,Bachelor's Degree,Never Married,Executive / Managerial,Own-child,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
49,Private,164877,10th Grade,Married (Civilian Spouse),Farming / Fishing,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
59,Private,272087,High School Graduate,Married (Civilian Spouse),Transport / Moving,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
20,Private,169699,High School Graduate,Never Married,Administrative / Clerical,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
51,,189762,College,Married (Civilian Spouse),,Married,White,Female,0,0,18,<=50K,US & Canada,0,0,Part_time
33,Private,202191,College,Never Married,Administrative / Clerical,Unmarried,Black,Female,0,0,35,<=50K,US & Canada,0,0,Full_time
22,Private,212261,College,Never Married,Transport / Moving,Own-child,Black,Male,0,0,39,<=50K,US & Canada,0,0,Full_time
58,Self-Employed (Not Incorporated),301568,9th Grade,Widowed,Other Service,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
52,Local Government,155233,High School Graduate,Widowed,Administrative / Clerical,Unmarried,White,Female,0,0,28,<=50K,US & Canada,0,0,Part_time
36,Private,75826,10th Grade,Separated,Machine Operator / Inspector,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
41,Local Government,201520,High School Graduate,Married (Civilian Spouse),Protective Service,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
28,Private,154236,High School Graduate,Never Married,Transport / Moving,Own-child,White,Male,2597,0,40,<=50K,US & Canada,2597,1,Full_time
19,Private,289227,College,Never Married,Handlers / Cleaners,Own-child,Black,Male,0,0,16,<=50K,US & Canada,0,0,Part_time
18,Private,217439,High School Graduate,Never Married,Other Service,Not-in-family,White,Female,0,0,28,<=50K,US & Canada,0,0,Part_time
18,Private,179020,High School Graduate,Never Married,Machine Operator / Inspector,Own-child,White,Female,0,0,48,<=50K,US & Canada,0,0,Overtime
28,Private,149624,College,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
29,Private,337266,Associate's Degree (Vocational),Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
20,,30796,High School Graduate,Never Married,,Own-child,White,Female,0,0,20,<=50K,US & Canada,0,0,Part_time
40,Private,103541,College,Married (Civilian Spouse),Handlers / Cleaners,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
26,Private,206721,High School Graduate,Never Married,Handlers / Cleaners,Unmarried,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
46,Private,96773,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
23,Private,200967,11th Grade,Never Married,Other Service,Not-in-family,White,Female,0,0,24,<=50K,US & Canada,0,0,Part_time
44,Private,180019,High School Graduate,"Married, Spouse Absent",Administrative / Clerical,Unmarried,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
43,Private,179866,Bachelor's Degree,Divorced,Sales,Unmarried,White,Female,0,0,40,>50K,US & Canada,0,0,Full_time
31,Local Government,198770,Bachelor's Degree,Divorced,Professional Specialty,Unmarried,White,Female,0,0,60,<=50K,US & Canada,0,0,Overtime
18,Private,219256,College,Never Married,Sales,Own-child,White,Female,0,0,25,<=50K,US & Canada,0,0,Part_time
19,Private,248730,College,Never Married,Protective Service,Own-child,White,Male,0,0,30,<=50K,US & Canada,0,0,Part_time
41,Private,110732,College,Divorced,Technical Support,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
41,Private,181020,High School Graduate,Divorced,Handlers / Cleaners,Unmarried,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
69,Private,183791,High School Graduate,Divorced,Administrative / Clerical,Not-in-family,White,Female,0,0,25,<=50K,US & Canada,0,0,Part_time
48,Federal Government,42972,Doctorate/PhD,Married (Civilian Spouse),Professional Specialty,Married,White,Female,0,0,40,>50K,US & Canada,0,0,Full_time
28,Private,134813,High School Graduate,Never Married,Professional Specialty,Own-child,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
27,Self-Employed (Not Incorporated),115438,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,60,>50K,Europe & Central Asia,0,0,Overtime
41,Private,239296,Master's Degree,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,2415,50,>50K,US & Canada,-2415,1,Overtime
41,Private,428420,College,Married (Civilian Spouse),Administrative / Clerical,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
24,Private,247846,High School Graduate,Never Married,Craft / Repair,Unmarried,Black,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
20,,334105,High School Graduate,Never Married,,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
42,Self-Employed (Incorporated),100793,Doctorate/PhD,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,0,41,>50K,US & Canada,0,0,Full_time
57,Private,244478,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,Black,Male,0,0,48,<=50K,US & Canada,0,0,Overtime
30,Private,142921,Associate's Degree (Academic),Never Married,Professional Specialty,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
36,Private,182863,High School Graduate,Married (Civilian Spouse),Sales,Married,White,Male,0,0,60,>50K,US & Canada,0,0,Overtime
49,Private,171128,7th to 8th Grade,Married (Civilian Spouse),Machine Operator / Inspector,Married,Black,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
33,Private,145402,High School Graduate,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Female,0,0,35,<=50K,US & Canada,0,0,Full_time
23,Private,306309,10th Grade,Married (Civilian Spouse),Farming / Fishing,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
46,Private,83822,Master's Degree,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
18,Private,262118,College,Never Married,Administrative / Clerical,Own-child,Asian-Pac-Islander,Female,0,0,22,<=50K,Europe & Central Asia,0,0,Part_time
40,Private,155972,High School Graduate,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,7688,0,55,>50K,US & Canada,7688,1,Overtime
43,Self-Employed (Incorporated),214503,High School Graduate,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,1887,45,>50K,US & Canada,-1887,1,Full_time
34,Private,159303,Master's Degree,Never Married,Professional Specialty,Own-child,White,Female,0,0,30,<=50K,US & Canada,0,0,Part_time
47,Self-Employed (Not Incorporated),174995,High School Graduate,Widowed,Executive / Managerial,Not-in-family,White,Female,0,0,30,<=50K,US & Canada,0,0,Part_time
44,Private,26669,Associate's Degree (Vocational),Widowed,Executive / Managerial,Unmarried,White,Female,0,0,30,<=50K,US & Canada,0,0,Part_time
33,Private,177727,High School Graduate,Married (Civilian Spouse),Sales,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
55,Private,124771,Bachelor's Degree,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,15024,0,50,>50K,US & Canada,15024,1,Overtime
19,Private,456736,High School Graduate,Never Married,Sales,Not-in-family,White,Male,2907,0,30,<=50K,US & Canada,2907,1,Part_time
28,Private,216604,College,Never Married,Other Service,Not-in-family,Black,Male,0,0,14,<=50K,US & Canada,0,0,Part_time
27,Private,221561,11th Grade,Married (Civilian Spouse),Other Service,Married,Black,Female,0,0,32,<=50K,US & Canada,0,0,Part_time
50,Private,114564,7th to 8th Grade,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,0,0,20,<=50K,US & Canada,0,0,Part_time
22,Private,315476,11th Grade,Never Married,Craft / Repair,Unmarried,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
40,State Government,67874,Bachelor's Degree,Married (Civilian Spouse),Administrative / Clerical,Married,White,Male,0,1887,45,>50K,US & Canada,-1887,1,Full_time
25,Private,126110,College,Never Married,Administrative / Clerical,Own-child,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
26,Local Government,102264,High School Graduate,Never Married,Craft / Repair,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
22,Private,537222,Bachelor's Degree,Never Married,Sales,Not-in-family,White,Male,0,0,25,<=50K,US & Canada,0,0,Part_time
42,Private,113732,College,Never Married,Handlers / Cleaners,Unmarried,Black,Female,0,625,40,<=50K,US & Canada,-625,1,Full_time
38,Self-Employed (Incorporated),93225,Bachelor's Degree,Divorced,Executive / Managerial,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
55,Private,43064,11th Grade,Married (Civilian Spouse),Other Service,Married,White,Male,0,0,30,<=50K,US & Canada,0,0,Part_time
32,Private,136921,High School Graduate,Married (Civilian Spouse),Sales,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
22,Private,388885,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,45,<=50K,US & Canada,0,0,Full_time
29,Private,142249,Bachelor's Degree,Never Married,Sales,Own-child,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
46,State Government,56841,Master's Degree,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,0,45,>50K,US & Canada,0,0,Full_time
31,Private,156493,College,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
58,Self-Employed (Not Incorporated),159021,Doctorate/PhD,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,0,16,>50K,US & Canada,0,0,Part_time
42,Private,190910,High School Graduate,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,45,<=50K,US & Canada,0,0,Full_time
18,Private,41879,High School Graduate,Never Married,Handlers / Cleaners,Unmarried,White,Male,0,0,25,<=50K,US & Canada,0,0,Part_time
58,Local Government,137249,High School Graduate,Divorced,Executive / Managerial,Not-in-family,White,Male,0,0,33,<=50K,US & Canada,0,0,Part_time
54,Private,236157,High School Graduate,Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,1887,40,>50K,US & Canada,-1887,1,Full_time
34,Private,189759,Master's Degree,Never Married,Professional Specialty,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
26,Private,239877,Bachelor's Degree,Never Married,Administrative / Clerical,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
61,Private,21175,12th Grade,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,0,60,<=50K,US & Canada,0,0,Overtime
48,Local Government,67229,Master's Degree,Separated,Administrative / Clerical,Unmarried,Black,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
36,Private,236391,College,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,0,45,>50K,US & Canada,0,0,Full_time
24,Private,325596,Associate's Degree (Vocational),Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,0,0,45,<=50K,US & Canada,0,0,Full_time
40,Private,83411,College,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,0,0,37,<=50K,US & Canada,0,0,Full_time
33,Self-Employed (Incorporated),154227,High School Graduate,Married (Civilian Spouse),Sales,Married,White,Male,0,0,50,>50K,US & Canada,0,0,Overtime
37,Private,248010,College,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,0,1887,40,>50K,US & Canada,-1887,1,Full_time
34,Private,198613,Master's Degree,Never Married,Executive / Managerial,Own-child,White,Male,4650,0,40,<=50K,US & Canada,4650,1,Full_time
56,Self-Employed (Incorporated),321529,College,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,15024,0,40,>50K,US & Canada,15024,1,Full_time
28,,168524,High School Graduate,Married (Civilian Spouse),,Own-child,White,Female,0,0,38,>50K,US & Canada,0,0,Full_time
37,Private,203079,Bachelor's Degree,Widowed,Executive / Managerial,Not-in-family,White,Female,0,0,55,<=50K,US & Canada,0,0,Overtime
44,Private,284652,High School Graduate,Divorced,Sales,Unmarried,Black,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
64,,201368,College,Married (Civilian Spouse),,Married,White,Male,0,0,8,<=50K,US & Canada,0,0,Part_time
54,Private,59840,High School Graduate,Divorced,Handlers / Cleaners,Not-in-family,White,Male,0,0,45,<=50K,US & Canada,0,0,Full_time
23,Private,52753,High School Graduate,Never Married,Machine Operator / Inspector,Not-in-family,White,Male,0,0,50,<=50K,US & Canada,0,0,Overtime
22,Private,199266,High School Graduate,Never Married,Other Service,Not-in-family,White,Female,0,0,45,<=50K,US & Canada,0,0,Full_time
33,Private,196385,Bachelor's Degree,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,1977,40,>50K,US & Canada,-1977,1,Full_time
39,Private,163205,Bachelor's Degree,Separated,Professional Specialty,Not-in-family,White,Male,0,0,50,>50K,US & Canada,0,0,Overtime
47,Private,411047,College,Divorced,Administrative / Clerical,Not-in-family,Black,Female,0,0,37,<=50K,US & Canada,0,0,Full_time
79,,48574,7th to 8th Grade,Widowed,,Not-in-family,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
26,Private,209440,High School Graduate,Never Married,Professional Specialty,Unmarried,Black,Female,0,0,55,<=50K,US & Canada,0,0,Overtime
31,Private,56964,College,Divorced,Executive / Managerial,Unmarried,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
44,Private,299197,College,Never Married,Transport / Moving,Not-in-family,White,Male,0,0,45,<=50K,US & Canada,0,0,Full_time
42,Self-Employed (Incorporated),240628,Professional School,Married (Civilian Spouse),Professional Specialty,Married,White,Female,0,0,50,>50K,US & Canada,0,0,Overtime
19,Private,355313,High School Graduate,Never Married,Machine Operator / Inspector,Not-in-family,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
27,Private,132267,High School Graduate,Married (Civilian Spouse),Handlers / Cleaners,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
51,Local Government,174861,College,Married (Civilian Spouse),Protective Service,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
28,Self-Employed (Incorporated),142443,Bachelor's Degree,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,0,50,<=50K,US & Canada,0,0,Overtime
57,Private,26716,Bachelor's Degree,Divorced,Craft / Repair,Not-in-family,White,Male,0,0,45,<=50K,US & Canada,0,0,Full_time
45,Local Government,185588,Bachelor's Degree,Divorced,Professional Specialty,Unmarried,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
50,Private,175029,Associate's Degree (Vocational),Married (Civilian Spouse),Professional Specialty,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
34,Self-Employed (Incorporated),34848,Bachelor's Degree,Married (Civilian Spouse),Sales,Married,White,Male,0,0,54,<=50K,US & Canada,0,0,Overtime
